id,date,zipcode,City,price,bedrooms,bathrooms,sqft_living,House Size,sqft_lot,floors,waterfront,Are there Waterfronts ?,view,How many views ?,condition,Habitability,grade,Architechture,sqft_above,sqft_basement,yr_built,yr_renovated,Renovated/Not Renovated,sqft_living15,sqft_lot15
7895500070,2/13/2015,98001,Auburn,"$240,000.00 ",4,1,1220,Small,8075,1,0,No,0,No View,2,Fair,7,High Quality ,890,330,1969,0,Not Renovated,1290,7800
3717000160,10/9/2014,98001,Auburn,"$287,000.00 ",4,3,2240,Large,4648,2,0,No,0,No View,3,Average,7,High Quality ,2240,0,2005,0,Not Renovated,2221,4557
8961960160,10/28/2014,98001,Auburn,"$480,000.00 ",4,3,3230,Very Large,16171,2,0,No,3,Good View,3,Average,9,High Quality ,2520,710,2001,0,Not Renovated,2640,8517
4014400292,1/14/2015,98001,Auburn,"$465,000.00 ",3,3,2714,Very Large,17936,2,0,No,0,No View,3,Average,9,High Quality ,2714,0,2005,0,Not Renovated,2590,18386
1115450240,10/22/2014,98001,Auburn,"$360,000.00 ",4,3,2160,Large,9528,2,0,No,0,No View,3,Average,9,High Quality ,2160,0,1992,0,Not Renovated,2280,9937
3353400435,7/21/2014,98001,Auburn,"$230,000.00 ",3,2,1450,Medium,11204,1,0,No,0,No View,3,Average,7,High Quality ,1450,0,2003,0,Not Renovated,1520,9518
9262800171,3/24/2015,98001,Auburn,"$252,000.00 ",4,2,1550,Medium,19800,1,0,No,0,No View,4,Good,7,High Quality ,1050,500,1969,0,Not Renovated,1640,22654
3353401710,9/23/2014,98001,Auburn,"$227,950.00 ",3,2,1670,Medium,8230,1,0,No,0,No View,5,Excellent,7,High Quality ,1670,0,1954,0,Not Renovated,2077,4910
8159610030,7/22/2014,98001,Auburn,"$196,000.00 ",3,2,2070,Large,11576,2,0,No,0,No View,3,Average,7,High Quality ,2070,0,1974,0,Not Renovated,1890,7519
3329500060,7/28/2014,98001,Auburn,"$305,000.00 ",4,3,2250,Large,9091,1,0,No,0,No View,3,Average,7,High Quality ,1340,910,1982,0,Not Renovated,1540,7802
7967200060,9/8/2014,98001,Auburn,"$243,000.00 ",3,2,1450,Medium,12125,1,0,No,0,No View,4,Good,7,High Quality ,1450,0,1981,0,Not Renovated,1210,12125
8159610060,11/19/2014,98001,Auburn,"$233,000.00 ",3,2,1400,Small,9177,1,0,No,0,No View,3,Average,7,High Quality ,1400,0,1974,0,Not Renovated,2020,8547
5066400483,11/20/2014,98001,Auburn,"$249,900.00 ",3,2,1380,Small,14000,1,0,No,0,No View,4,Good,5,Basic ,1380,0,1939,1957,Renovated,1490,18503
3329530200,9/10/2014,98001,Auburn,"$205,000.00 ",3,2,1410,Small,8384,1,0,No,0,No View,3,Average,7,High Quality ,1410,0,1985,0,Not Renovated,1410,9205
5462100240,6/25/2014,98001,Auburn,"$196,500.00 ",3,1,1320,Small,9000,1,0,No,0,No View,3,Average,7,High Quality ,1320,0,1966,0,Not Renovated,1320,9800
8856004730,9/17/2014,98001,Auburn,"$199,950.00 ",2,3,1590,Medium,20917,1.5,0,No,0,No View,3,Average,5,Basic ,1590,0,1920,0,Not Renovated,1310,6000
8001400340,9/24/2014,98001,Auburn,"$289,000.00 ",3,2,1850,Medium,9550,1,0,No,0,No View,3,Average,8,High Quality ,1850,0,1988,0,Not Renovated,2250,9550
3353400860,7/17/2014,98001,Auburn,"$249,900.00 ",3,2,2080,Large,12522,1,0,No,0,No View,5,Excellent,6,Standard ,2080,0,1950,0,Not Renovated,1690,11200
3751600030,7/17/2014,98001,Auburn,"$100,000.00 ",2,1,770,Small,17334,1,0,No,0,No View,3,Average,7,High Quality ,770,0,1978,0,Not Renovated,1480,17334
4401150070,6/23/2014,98001,Auburn,"$320,000.00 ",3,3,2280,Large,7417,2,0,No,0,No View,3,Average,8,High Quality ,2280,0,1998,0,Not Renovated,2370,6443
1687000270,5/28/2014,98001,Auburn,"$267,000.00 ",3,3,2495,Large,4400,2,0,No,0,No View,3,Average,8,High Quality ,2495,0,2007,0,Not Renovated,2434,4400
3751604974,12/4/2014,98001,Auburn,"$350,000.00 ",2,2,1320,Small,73600,1,0,No,0,No View,3,Average,7,High Quality ,1320,0,1993,0,Not Renovated,1320,33600
2214800270,9/25/2014,98001,Auburn,"$355,000.00 ",4,3,2770,Very Large,7000,1,0,No,0,No View,4,Good,7,High Quality ,1940,830,1979,0,Not Renovated,2140,7684
1311100520,4/14/2015,98001,Auburn,"$250,000.00 ",4,2,1730,Medium,8400,1,0,No,0,No View,3,Average,7,High Quality ,1730,0,1962,0,Not Renovated,1550,7920
5412100550,12/8/2014,98001,Auburn,"$355,000.00 ",4,3,2590,Very Large,7213,2,0,No,0,No View,3,Average,8,High Quality ,2590,0,2001,0,Not Renovated,2550,6800
5515600075,12/5/2014,98001,Auburn,"$299,000.00 ",3,1,1510,Medium,142803,1,0,No,0,No View,3,Average,7,High Quality ,1510,0,1974,0,Not Renovated,1330,46609
6181430800,1/5/2015,98001,Auburn,"$330,000.00 ",4,3,3504,Very Large,6000,2,0,No,0,No View,3,Average,7,High Quality ,3504,0,2006,0,Not Renovated,2790,5231
3356406510,5/30/2014,98001,Auburn,"$196,440.00 ",3,2,1560,Medium,7352,1,0,No,0,No View,3,Average,6,Standard ,1560,0,1992,0,Not Renovated,1120,7950
9510930350,12/12/2014,98001,Auburn,"$429,000.00 ",4,3,2650,Very Large,9301,2,0,No,0,No View,3,Average,9,High Quality ,2650,0,2001,0,Not Renovated,2730,8688
5402100045,3/11/2015,98001,Auburn,"$189,950.00 ",4,2,1910,Large,4225,1,0,No,0,No View,4,Good,6,Standard ,910,1000,1919,0,Not Renovated,1060,4800
3751602329,6/27/2014,98001,Auburn,"$215,500.00 ",2,2,1220,Small,15600,1,0,No,0,No View,3,Average,6,Standard ,1220,0,1972,0,Not Renovated,1510,17818
3356404330,11/19/2014,98001,Auburn,"$206,000.00 ",4,2,1720,Medium,7560,1,0,No,0,No View,3,Average,7,High Quality ,1720,0,1959,0,Not Renovated,1750,7988
3874000240,12/2/2014,98001,Auburn,"$210,000.00 ",3,2,1440,Medium,10111,1,0,No,0,No View,3,Average,7,High Quality ,1440,0,1963,0,Not Renovated,1580,10200
8159620160,4/24/2015,98001,Auburn,"$284,200.00 ",3,3,1570,Medium,9292,1,0,No,0,No View,3,Average,7,High Quality ,1110,460,1977,0,Not Renovated,1470,9222
5651500140,6/17/2014,98001,Auburn,"$272,000.00 ",3,2,1380,Small,7476,1,0,No,0,No View,3,Average,7,High Quality ,1380,0,1989,0,Not Renovated,1600,7227
7967600069,11/17/2014,98001,Auburn,"$185,000.00 ",3,1,980,Small,9135,1,0,No,0,No View,3,Average,7,High Quality ,980,0,1955,0,Not Renovated,1780,9135
7351000160,7/8/2014,98001,Auburn,"$332,000.00 ",3,2,2120,Large,14915,1,0,No,0,No View,3,Average,9,High Quality ,1720,400,1979,0,Not Renovated,2320,13100
3354400060,5/1/2015,98001,Auburn,"$238,000.00 ",2,1,1088,Small,8453,1,0,No,0,No View,3,Average,6,Standard ,1088,0,1952,2009,Renovated,1088,8016
5413200140,10/21/2014,98001,Auburn,"$213,550.00 ",3,3,1580,Medium,8541,2,0,No,0,No View,3,Average,7,High Quality ,1580,0,1990,0,Not Renovated,1640,7542
5556800260,3/5/2015,98001,Auburn,"$230,000.00 ",4,2,1440,Medium,10800,1,0,No,0,No View,4,Good,7,High Quality ,1440,0,1967,0,Not Renovated,1190,7380
128500260,5/8/2014,98001,Auburn,"$262,000.00 ",4,3,2020,Large,6236,2,0,No,0,No View,3,Average,7,High Quality ,2020,0,2002,0,Not Renovated,1940,5076
303000445,5/23/2014,98001,Auburn,"$175,000.00 ",2,1,1300,Small,44431,1,0,No,0,No View,5,Excellent,6,Standard ,1300,0,1958,0,Not Renovated,1470,14850
8856004400,9/2/2014,98001,Auburn,"$235,000.00 ",4,1,1610,Medium,24000,1.5,0,No,0,No View,3,Average,6,Standard ,1610,0,1947,0,Not Renovated,1270,9600
7696600240,10/23/2014,98001,Auburn,"$165,000.00 ",3,2,1280,Small,7742,1,0,No,0,No View,3,Average,7,High Quality ,1280,0,1973,0,Not Renovated,1566,7696
1687000240,12/10/2014,98001,Auburn,"$276,000.00 ",3,3,2495,Large,4400,2,0,No,0,No View,3,Average,8,High Quality ,2495,0,2007,0,Not Renovated,2434,4400
1312920060,12/12/2014,98001,Auburn,"$265,000.00 ",3,2,1630,Medium,10969,2,0,No,0,No View,3,Average,7,High Quality ,1630,0,1991,0,Not Renovated,1410,7920
1687000200,4/10/2015,98001,Auburn,"$259,000.00 ",3,3,2153,Large,4400,2,0,No,0,No View,3,Average,8,High Quality ,2153,0,2007,0,Not Renovated,2434,4400
2366800055,12/3/2014,98001,Auburn,"$225,000.00 ",3,3,1740,Medium,10050,2,0,No,0,No View,3,Average,7,High Quality ,1740,0,1989,0,Not Renovated,1300,10125
2595650060,3/24/2015,98001,Auburn,"$354,450.00 ",4,3,2140,Large,9920,2,0,No,0,No View,3,Average,8,High Quality ,2140,0,1993,0,Not Renovated,2130,9920
2408600160,2/28/2015,98001,Auburn,"$352,000.00 ",4,3,1252,Small,25002,1,0,No,0,No View,3,Average,8,High Quality ,992,260,1996,0,Not Renovated,1860,25002
3750605349,3/4/2015,98001,Auburn,"$210,500.00 ",3,1,1220,Small,9600,1,0,No,0,No View,5,Excellent,7,High Quality ,1220,0,1958,0,Not Renovated,1310,9600
3750603732,1/28/2015,98001,Auburn,"$276,000.00 ",3,2,2240,Large,9200,1,0,No,0,No View,4,Good,7,High Quality ,1440,800,1968,0,Not Renovated,1740,9600
2744000100,6/25/2014,98001,Auburn,"$299,950.00 ",3,3,1870,Medium,7942,2,0,No,0,No View,3,Average,7,High Quality ,1870,0,1990,0,Not Renovated,1870,7392
3751604169,2/24/2015,98001,Auburn,"$279,000.00 ",2,3,1770,Medium,10534,1,0,No,0,No View,3,Average,8,High Quality ,1210,560,2003,0,Not Renovated,1600,17400
221049191,4/28/2015,98001,Auburn,"$329,500.00 ",3,3,2120,Large,22482,1,0,No,0,No View,5,Excellent,7,High Quality ,1360,760,1979,0,Not Renovated,2330,16016
3751600176,3/6/2015,98001,Auburn,"$196,000.00 ",3,2,1000,Small,18568,1,0,No,0,No View,3,Average,6,Standard ,1000,0,1989,0,Not Renovated,1610,17420
3521049048,8/11/2014,98001,Auburn,"$515,000.00 ",3,3,3430,Very Large,48993,2,0,No,0,No View,3,Average,9,High Quality ,3430,0,2001,0,Not Renovated,2460,36256
3356407665,9/24/2014,98001,Auburn,"$180,000.00 ",3,2,1330,Small,16000,1,0,No,0,No View,3,Average,7,High Quality ,1330,0,1978,0,Not Renovated,1330,14374
2721049059,5/28/2014,98001,Auburn,"$225,000.00 ",3,2,2030,Large,24829,1,0,No,0,No View,4,Good,7,High Quality ,1220,810,1979,0,Not Renovated,1980,15204
3356403820,12/5/2014,98001,Auburn,"$115,000.00 ",2,1,1000,Small,16524,1,0,No,0,No View,3,Average,5,Basic ,1000,0,1913,0,Not Renovated,1350,10208
5647900930,12/15/2014,98001,Auburn,"$195,000.00 ",3,1,1070,Small,22489,1,0,No,0,No View,3,Average,7,High Quality ,1070,0,1967,0,Not Renovated,1880,20250
6648760100,7/11/2014,98001,Auburn,"$299,950.00 ",3,3,1600,Medium,9830,2,0,No,0,No View,4,Good,8,High Quality ,1600,0,1993,0,Not Renovated,1890,8910
3751600457,8/13/2014,98001,Auburn,"$299,000.00 ",3,2,2100,Large,15480,1,0,No,0,No View,3,Average,7,High Quality ,2100,0,1983,0,Not Renovated,1330,15657
